Kanji,Reading,Meaning,VocabScore,FillingScore,Level
降りる,おりる,"to get off, to descend",0,0,5
元気,げんき,"health, vitality",0,0,5
夜,よる,"evening,night",0,0,5
並ぶ,ならぶ,"to line up,to stand in a line",0,0,5
牛肉,ぎゅうにく,Beef,0,0,5
とり肉,とりにく,chicken meat,0,0,5
月曜日,げつようび,Monday,0,0,5
左,ひだり,left hand side,0,0,5
切る,きる,to cut,0,0,5
習う,ならう,to learn,0,0,5
皆さん,みなさん,everyone,0,0,5
角,かど,a corner,0,0,5
十,じゅう,Ten,0,0,5
遊ぶ,あそぶ,"to play, to make a visit",0,0,5
去年,きょねん,last year,0,0,5
先,さき,"the future, previous",0,0,5
休む,やすむ,to rest,0,0,5
年,とし,year,0,0,5
渡る,わたる,to go across,0,0,5
涼しい,すずしい,Refreshing,0,0,5
頭,あたま,head,0,0,5
男,おとこ,Man,0,0,5
大切,たいせつ,important,0,0,5
教える,おしえる,"to teach, to tell",0,0,5
始まる,はじまる,to begin,0,0,5
白,しろ,White,0,0,5
九,きゅう,Nine,0,0,5
下,した,Below,0,0,5
痛い,いたい,painful,0,0,5
部屋,へや,room,0,0,5
水曜日,すいようび,Wednesday,0,0,5
秋,あき,autumn,0,0,5
厚い,あつい,"kind, deep, thick",0,0,5
少し,すこし,Few,0,0,5
野菜,やさい,vegetable,0,0,5
何,なに,what,0,0,5
花瓶,かびん,a vase,0,0,5
貼る,はる,to stick,0,0,5
お風呂,おふろ,Bath,0,0,5
疲れる,つかれる,to get tired,0,0,5
悪い,わるい,bad,0,0,5
紙,かみ,paper,0,0,5
紅茶,こうちゃ,black tea,0,0,5
風邪,かぜ,a cold,0,0,5
眼鏡,めがね,glasses,0,0,5
好き,すき,Likeable,0,0,5
男の子,おとこのこ,Boy,0,0,5
忙しい,いそがしい,"busy, irritated",0,0,5
売る,うる,to sell,0,0,5
要る,いる,to need,0,0,5
豚肉,ぶたにく,pork,0,0,5
歩く,あるく,to walk,0,0,5
お茶,おちゃ,green tea,0,0,5
荷物,にもつ,luggage,0,0,5
返す,かえす,to return something,0,0,5
脱ぐ,ぬぐ,to take off clothes,0,0,5
廊下,ろうか,corridor,0,0,5
鉛筆,えんぴつ,pencil,0,0,5
公園,こうえん,Park,0,0,5
五,ご,Five,0,0,5
六日,むいか,"six days, sixth day of the month",0,0,5
映画,えいが,movie,0,0,5
お姉さん,おねえさん,(honorable) older sister,0,0,5
机,つくえ,desk,0,0,5
絵,え,picture,0,0,5
暖かい,あたたかい,warm,0,0,5
締める,しめる,to tie,0,0,5
休み,やすみ,"rest,holiday",0,0,5
甘い,あまい,sweet,0,0,5
台所,だいどころ,kitchen,0,0,5
多い,おおい,many,0,0,5
曇る,くもる,"to become cloudy, to become dim",0,0,5
半分,はんぶん,half minute,0,0,5
本棚,ほんだな,bookshelves,0,0,5
五つ,いつつ,five,0,0,5
新しい,あたらしい,new,0,0,5
雑誌,ざっし,Magazine,0,0,5
番号,ばんごう,number,0,0,5
千,せん,Thousand,0,0,5
昨夜,ゆうべ,last night,0,0,5
九日,ここのか,"nine days, ninth day",0,0,5
動物,どうぶつ,animal,0,0,5
兄弟,きょうだい,(humble) siblings,0,0,5
北,きた,North,0,0,5
問題,もんだい,problem,0,0,5
弱い,よわい,weak,0,0,5
分かる,わかる,to be understood,0,0,5
住む,すむ,to live in,0,0,5
仕事,しごと,Job,0,0,5
兄,あに,(humble) older brother,0,0,5
重い,おもい,Heavy,0,0,5
来月,らいげつ,next month,0,0,5
お菓子,おかし,"sweets, candy",0,0,5
使う,つかう,to use,0,0,5
一,いち,one,0,0,5
丸い,まるい,"round,circular",0,0,5
危ない,あぶない,dangerous,0,0,5
口,くち,"mouth, opening",0,0,5
答える,こたえる,to answer,0,0,5
万年筆,まんねんひつ,fountain pen,0,0,5
辺,へん,area,0,0,5
今年,ことし,this year,0,0,5
十日,とおか,"ten days,the tenth day",0,0,5
毎週,まいしゅう,every week,0,0,5
赤,あか,red,0,0,5
お皿,おさら,"plate, dish",0,0,5
大勢,おおぜい,great number of people,0,0,5
鳴く,なく,"animal noise. to chirp, roar or croak etc.",0,0,5
死ぬ,しぬ,to die,0,0,5
一日,いちにち,first of the month,0,0,5
先月,せんげつ,last month,0,0,5
交番,こうばん,police box,0,0,5
初めて,はじめて,for the first time,0,0,5
山,やま,mountain,0,0,5
車,くるま,"car, vehicle",0,0,5
吸う,すう,"to smoke, to suck",0,0,5
病気,びょうき,illness,0,0,5
お弁当,おべんとう,boxed lunch,0,0,5
聞く,きく,"to hear, to listen to, to ask",0,0,5
七,なな,Seven,0,0,5
右,みぎ,right side,0,0,5
弟,おとうと,younger brother,0,0,5
歯,は,tooth,0,0,5
飛行機,ひこうき,aeroplane,0,0,5
南,みなみ,south,0,0,5
行く,いく,to go,0,0,5
川,かわ,River,0,0,5
薄い,うすい,"thin,weak",0,0,5
登る,のぼる,to climb,0,0,5
結構,けっこう,"splendid, enough",0,0,5
教室,きょうしつ,Classroom,0,0,5
小さい,ちいさい,little,0,0,5
辞書,じしょ,Dictionary,0,0,5
子供,こども,Child,0,0,5
会社,かいしゃ,Company,0,0,5
晴れる,はれる,to be sunny,0,0,5
肉,にく,meat,0,0,5
汚い,きたない,Dirty,0,0,5
忘れる,わすれる,to forget,0,0,5
難しい,むずかしい,difficult,0,0,5
引く,ひく,to pull,0,0,5
外,そと,Outside,0,0,5
両親,りょうしん,both parents,0,0,5
背,せ,"height, stature",0,0,5
勤める,つとめる,to work for someone,0,0,5
服,ふく,clothes,0,0,5
二十日,はつか,"twenty days,twentieth",0,0,5
寒い,さむい,Cold,0,0,5
字引,じびき,Dictionary,0,0,5
雨,あめ,rain,0,0,5
晩御飯,ばんごはん,evening meal,0,0,5
話す,はなす,to speak,0,0,5
生徒,せいと,Pupil,0,0,5
雪,ゆき,snow,0,0,5
叔父,おじさん,"uncle, middle aged gentleman",0,0,5
靴下,くつした,Socks,0,0,5
勉強,べんきょう,to study,0,0,5
旅行,りょこう,travel,0,0,5
並べる,ならべる,"to line up,to set up",0,0,5
家族,かぞく,Family,0,0,5
隣,となり,next door to,0,0,5
止まる,とまる,to come to a halt,0,0,5
便利,べんり,"useful, convenient",0,0,5
冷蔵庫,れいぞうこ,refrigerator,0,0,5
向こう,むこう,over there,0,0,5
質問,しつもん,Question,0,0,5
易しい,やさしい,"easy, simple",0,0,5
呼ぶ,よぶ,"to call out,to invite",0,0,5
速い,はやい,quick,0,0,5
上,うえ,on top of,0,0,5
八つ,やっつ,eight,0,0,5
二,に,two,0,0,5
会場,かいじょう,assembly hall or meeting place,0,0,
会場,てんいん,shop assistant,0,0,
地震,じしん,earthquake,0,0,
法律,ほうりつ,law,0,0,
確か,たしか,definite,0,0,
彼,かれ,"he,boyfriend",0,0,
火,ひ,fire,0,0,
決して,けっして,never,0,0,
受ける,うける,to take a lesson or test,0,0,
無くなる,なくなる,"to disappear,to get lost",0,0,
連絡,れんらく,contact,0,0,
進む,すすむ,to make progress,0,0,
間に合う,まにあう,to be in time for,0,0,
電報,でんぽう,telegram,0,0,
不便,ふべん,inconvenience,0,0,
息子,むすこ,(humble) son,0,0,
卒業,そつぎょう,graduation,0,0,
味,あじ,flavour,0,0,
喜ぶ,よろこぶ,to be delighted,0,0,
近所,きんじょ,neighbourhood,0,0,
泳ぎ方,およぎかた,way of swimming,0,0,
小鳥,ことり,small bird,0,0,
払う,はらう,to pay,0,0,
開く,ひらく,to open an event,0,0,
億,おく,one hundred million,0,0,
普通,ふつう,"usually, or a train that stops at every station",0,0,
戦争,せんそう,war,0,0,
経験,けいけん,to experience,0,0,
見える,みえる,to be in sight,0,0,
技術,ぎじゅつ,"art,technology,skill",0,0,
代わり,かわり,"substitute,alternate",0,0,
非常に,ひじょうに,extremely,0,0,
続ける,つづける,to continue,0,0,
急行,きゅうこう,"speedy, express",0,0,
中学校,ちゅうがっこう,"junior high school,middle school",0,0,
裏,うら,reverse side,0,0,
売り場,うりば,place where things are sold,0,0,
故障,こしょう,to break-down,0,0,
新聞社,しんぶんしゃ,newspaper company,0,0,
金持ち,かねもち,rich man,0,0,
尋ねる,たずねる,to ask,0,0,
致す,いたす,(humble) to do,0,0,
機会,きかい,opportunity,0,0,
凄い,すごい,terrific,0,0,
用意,ようい,preparation,0,0,
試合,しあい,"match,game",0,0,
腕,うで,arm,0,0,
十分,じゅうぶん,enough,0,0,
場所,ばしょ,location,0,0,
部長,ぶちょう,head of a section,0,0,
さ来月,さらいげつ,the month after next,0,0,
昔,むかし,"olden days, former",0,0,
ご存じ,ごぞんじ,"knowing,acquaintance",0,0,
以上,いじょう,"more than,this is all",0,0,
着物,きもの,kimono,0,0,
夫,おっと,husband,0,0,
変,へん,strange,0,0,
投げる,なげる,to throw or cast away,0,0,
暮れる,くれる,"to get dark,to come to an end",0,0,
正しい,ただしい,correct,0,0,
天気予報,てんきよほう,weather forecast,0,0,
隅,すみ,"corner,nook",0,0,
味噌,みそ,bean paste,0,0,
気,き,"spirit,mood",0,0,
研究室,けんきゅうしつ,"study room,laboratory",0,0,
深い,ふかい,deep,0,0,
番組,ばんぐみ,television or radio program,0,0,
教育,きょういく,education,0,0,
日記,にっき,journal,0,0,
大事,だいじ,"important,valuable,serious matter",0,0,
滑る,すべる,"to slide,to slip",0,0,
焼ける,やける,"to burn,to be roasted",0,0,
空気,くうき,"air,atmosphere",0,0,
飾る,かざる,to decorate,0,0,
校長,こうちょう,headmaster,0,0,
星,ほし,star,0,0,
決める,きめる,to decide,0,0,
一度,いちど,once,0,0,
辞典,じてん,dictionary,0,0,
訳,わけ,"meaning,reason",0,0,
安心,あんしん,relief,0,0,
西洋,せいよう,western countries,0,0,
家内,かない,housewife,0,0,
真中,まんなか,middle,0,0,
競争,きょうそう,competition,0,0,
柔らかい,やわらかい,soft,0,0,
予約,よやく,reservation,0,0,
今度,こんど,"now,next time",0,0,
皆,みな,everybody,0,0,
沸く,わく,"to boil, to grow hot,to get excited",0,0,
指,ゆび,finger,0,0,
経済,けいざい,"finance,economy",0,0,
降り出す,ふりだす,to start to rain,0,0,
試験,しけん,examination,0,0,
仕方,しかた,method,0,0,
硬い,かたい,hard,0,0,
召し上がる,めしあがる,(polite) to eat,0,0,
包む,つつむ,to wrap,0,0,
申す,もうす,"(humble) to be called,to say",0,0,
台風,たいふう,typhoon,0,0,
娘,むすめ,(humble) daughter,0,0,
眠い,ねむい,sleepy,0,0,
用,よう,use,0,0,
拝見,はいけん,(humble) to look at,0,0,
漫画,まんが,comic,0,0,
教会,きょうかい,church,0,0,
旅館,りょかん,Japanese hotel,0,0,
道具,どうぐ,"tool,means",0,0,
落る,おちる,to fall or drop,0,0,
寺,てら,temple,0,0,
釣る,つる,to fish,0,0,
放送,ほうそう,to broadcast,0,0,
下りる,おりる,to get off,0,0,
落す,おとす,to drop,0,0,
案内,あんない,to guide,0,0,
お見舞い,おみまい,"calling on someone who is ill,enquiry",0,0,
関係,かんけい,relationship,0,0,
必ず,かならず,"certainly,necessarily",0,0,
火事,かじ,fire,0,0,
思う,おもう,"to think,to feel",0,0,
運ぶ,はこぶ,to transport,0,0,
消しゴム,けしゴム,eraser,0,0,
伝える,つたえる,to report,0,0,
御主人,ごしゅじん,(honorable) your husband,0,0,
文法,ぶんぽう,grammar,0,0,
米,こめ,uncooked rice,0,0,
直す,なおす,"to fix,to repair",0,0,
彼女,かのじょ,"she,girlfriend",0,0,
運転手,うんてんしゅ,driver,0,0,
拾う,ひろう,"to pick up,to gather",0,0,
入院,にゅういん,to hospitalise,0,0,
遠慮,えんりょ,"to be reserved, to be restrained",0,0,
地理,ちり,geography,0,0,
役に立つ,やくにたつ,to be helpful,0,0,
揺れる,ゆれる,"to shake,to sway",0,0,
医学,いがく,medical science,0,0,
砂,すな,sand,0,0,
回る,まわる,to go around,0,0,
神社,じんじゃ,Shinto shrine,0,0,
支度,したく,to prepare,0,0,
君,きみ,(informal) You (used by men towards women),0,0,
相談,そうだん,to discuss,0,0,
産業,さんぎょう,industry,0,0,
工業,こうぎょう,the manufacturing industry,0,0,
特別,とくべつ,special,0,0,
恥ずかしい,はずかしい,embarrassed,0,0,
屋上,おくじょう,rooftop,0,0,
輸入,ゆにゅう,to import,0,0,
下げる,さげる,"to hang,to lower,to move back",0,0,
久しぶり,ひさしぶり,after a long time,0,0,
今夜,こんや,tonight,0,0,
移る,うつる,to move house or transfer,0,0,
引き出す,ひきだす,to withdraw,0,0,
光る,ひかる,"to shine,to glitter",0,0,
政治,せいじ,"politics,government",0,0,
反対,はんたい,opposition,0,0,
光,ひかり,light,0,0,
亡くなる,なくなる,to die,0,0,
注射,ちゅうしゃ,injection,0,0,
心,こころ,"core,heart",0,0,
贈り物,おくりもの,gift,0,0,
例えば,たとえば,for example,0,0,
大体,だいたい,generally,0,0,
水泳,すいえい,swimming,0,0,
港,みなと,harbour,0,0,
厳しい,きびしい,strict,0,0,
研究,けんきゅう,research,0,0,
葉,は,leaf,0,0,
触る,さわる,to touch,0,0,
美術館,びじゅつかん,art gallery,0,0,
自由,じゆう,freedom,0,0,
割合,わりあい,"rate,ratio,percentage",0,0,
注意,ちゅうい,caution,0,0,
表,おもて,the front,0,0,
楽む,たのしむ,to enjoy oneself,0,0,
高校生,こうこうせい,high school student,0,0,
乾く,かわく,to get dry,0,0,
間違える,まちがえる,to make a mistake,0,0,
沸かす,わかす,"to boil,to heat",0,0,
熱,ねつ,fever,0,0,
君,くん,suffix for familiar young male,0,0,
写す,うつす,to copy or photograph,0,0,
気持ち,きもち,"feeling,mood",0,0,
社会,しゃかい,"society,public",0,0,
空く,あく,"to open, to become empty",0,0,
約束,やくそく,promise,0,0,
泊まる,とまる,to lodge at,0,0,
考える,かんがえる,to consider,0,0,
間,あいだ,a space,0,0,
小説,しょうせつ,novel,0,0,
決る,きまる,to be decided,0,0,
席,せき,seat,0,0,
打つ,うつ,to hit,0,0,
花見,はなみ,cherry-blossom viewing,0,0,
木綿,もめん,cotton,0,0,
季節,きせつ,season,0,0,
警察,けいさつ,police,0,0,
彼ら,かれら,they,0,0,
輸出,ゆしゅつ,to export,0,0,
興味,きょうみ,an interest,0,0,
虫,むし,insect,0,0,
割れる,われる,to break,0,0,
手袋,てぶくろ,glove,0,0,
倍,ばい,double,0,0,
珍しい,めずらしい,rare,0,0,
社長,しゃちょう,company president,0,0,
会話,かいわ,conversation,0,0,
日,ひ,"day, sun",0,0,
焼く,やく,"to bake,to grill",0,0,
探す,さがす,to look for,0,0,
駐車場,ちゅうしゃじょう,parking lot,0,0,
首,くび,neck,0,0,
合う,あう,to match,0,0,
子,こ,child,0,0,
驚く,おどろく,to be surprised,0,0,
人形,にんぎょう,"doll, figure",0,0,
危険,きけん,danger,0,0,
込む,こむ,to be crowded,0,0,
踊る,おどる,to dance,0,0,
祈る,いのる,to pray,0,0,
親,おや,parents,0,0,
布団,ふとん,"Japanese bedding, futon",0,0,
鏡,かがみ,mirror,0,0,
踏む,ふむ,to step on,0,0,
市民,しみん,citizen,0,0,
講義,こうぎ,lecture,0,0,
捕まえる,つかまえる,to seize,0,0,
最近,さいきん,"latest,nowadays",0,0,
